ID,Observer,Affiliation,State,city,Zipcode,Date_Collected,Date_Sampled,Date_Processed,Method,Type,Sex,OE_Status,Personnel_initials,Notes,UGA_MyId,Email,ObserverNotes,site,Region,Time Period,Phase (based_on date_sampled),Infection Status,City+State,Latitude_city_based,Longitude_city_based,Latitude_Zip_based,Longitude_Zip_based,Day Sampled,Month Sampled,Year Sampled,Day Of week,Breeding Range,Hot Volunteer?
18105,,,TX,Houston,77019,12/18/2013,1/7/2014,2/14/2014,Tape,L,F,3,JTB,OL Keeping adult inside with fruit. Too cold out. ,htlu10,,,,Gulf/Atlantic Coast,,4,1,"Houston, TX",29.76045036,-95.36978149,29.75315285,-95.41228485,7,1,2014,Tue,Year Round Breeding,
18168,,,FL,Fort Myers,33905,2014,2/6/2014,2/27/2014,Tape,L,M,3,MTH ,Tag #0013f bodven old larvae ,mhold92,,,,Gulf/Atlantic Coast,,4,1,"Fort Myers, FL",26.64084053,-81.86808014,26.66865921,-81.76165771,6,2,2014,Thu,Year Round Breeding,
18169,,,FL,Fort Myers,33905,1/29/2014,2/11/2014,2/27/2014,Tape,L,M,3,MTH ,Tag #0014f bodven old larvae ,mhold92,,,,Gulf/Atlantic Coast,,4,1,"Fort Myers, FL",26.64084053,-81.86808014,26.66865921,-81.76165771,11,2,2014,Tue,Year Round Breeding,
18195,,,FL,Alligator Point,32346,1/14/2014,1/14/2014,3/24/2014,Tape,A,M,0,JTB,Skinny ,mhold92,,,,Gulf/Atlantic Coast,,4,0,"Alligator Point, FL",30.13489914,-85.72440338,29.94124031,-84.42714691,14,1,2014,Tue,Year Round Breeding,
18196,,,FL,Alligator Point,32346,1/14/2014,1/14/2014,3/24/2014,Tape,A,M,1,JTB,worn and tattered wings ,mhold92,,,,Gulf/Atlantic Coast,,4,0,"Alligator Point, FL",30.13489914,-85.72440338,29.94124031,-84.42714691,14,1,2014,Tue,Year Round Breeding,
18197,,,FL,Alligator Point,32346,1/14/2014,1/14/2014,3/24/2014,Tape,A,M,0,JTB,Tattered wings ,mhold92,,,,Gulf/Atlantic Coast,,4,0,"Alligator Point, FL",30.13489914,-85.72440338,29.94124031,-84.42714691,14,1,2014,Tue,Year Round Breeding,
18198,,,FL,Alligator Point,32346,1/14/2014,1/14/2014,3/24/2014,Tape,A,F,0,JTB,"Very thin, Tattered wings ",mhold92,,,,Gulf/Atlantic Coast,,4,0,"Alligator Point, FL",30.13489914,-85.72440338,29.94124031,-84.42714691,14,1,2014,Tue,Year Round Breeding,
18199,,,FL,Alligator Point,32346,1/14/2014,1/14/2014,3/24/2014,Tape,A,M,0,JTB,"Tattered wings, thin ",mhold92,,,,Gulf/Atlantic Coast,,4,0,"Alligator Point, FL",30.13489914,-85.72440338,29.94124031,-84.42714691,14,1,2014,Tue,Year Round Breeding,
18200,,,FL,Alligator Point,32346,1/14/2014,1/14/2014,3/24/2014,Tape,A,M,0,JTB,Good condition ,mhold92,,,,Gulf/Atlantic Coast,,4,0,"Alligator Point, FL",30.13489914,-85.72440338,29.94124031,-84.42714691,14,1,2014,Tue,Year Round Breeding,
18228,,,TX,Houston`,77083,12/1/2013,1/1/2014,3/24/2014,Tape,E,M,3,JTB,#1533 ,mhold92,,,,Gulf/Atlantic Coast,,4,1,"Houston`, TX",29.76045036,-95.36978149,29.69311142,-95.64867401,1,1,2014,Wed,Year Round Breeding,
18229,,,TX,Houston`,77083,12/1/2013,1/3/2014,3/24/2014,Tape,E,F,2,JTB,#1534 ,mhold92,,,,Gulf/Atlantic Coast,,4,0,"Houston`, TX",29.76045036,-95.36978149,29.69311142,-95.64867401,3,1,2014,Fri,Year Round Breeding,
18230,,,TX,Houston`,77083,12/3/2013,1/3/2014,3/24/2014,Tape,E,M,3,JTB,#1535 ,mhold92,,,,Gulf/Atlantic Coast,,4,1,"Houston`, TX",29.76045036,-95.36978149,29.69311142,-95.64867401,3,1,2014,Fri,Year Round Breeding,
18231,,,TX,Houston`,77083,12/6/2013,1/3/2014,3/20/2014,Tape,E,F,3,JTB,#1536 ,mhold92,,,,Gulf/Atlantic Coast,,4,1,"Houston`, TX",29.76045036,-95.36978149,29.69311142,-95.64867401,3,1,2014,Fri,Year Round Breeding,
18232,,,TX,Houston`,77083,12/4/2013,1/4/2014,3/20/2014,Tape,E,M,3,JTB,#1537 ,mhold92,,,,Gulf/Atlantic Coast,,4,1,"Houston`, TX",29.76045036,-95.36978149,29.69311142,-95.64867401,4,1,2014,Sat,Year Round Breeding,
18233,,,TX,Houston`,77083,11/29/2013,1/5/2014,3/20/2014,Tape,E,F,3,JTB,#1538 ,mhold92,,,,Gulf/Atlantic Coast,,4,1,"Houston`, TX",29.76045036,-95.36978149,29.69311142,-95.64867401,5,1,2014,Sun,Year Round Breeding,
18234,,,TX,Houston`,77083,12/1/2013,1/7/2014,3/20/2014,Tape,E,M,3,JTB,#1539 ,mhold92,,,,Gulf/Atlantic Coast,,4,1,"Houston`, TX",29.76045036,-95.36978149,29.69311142,-95.64867401,7,1,2014,Tue,Year Round Breeding,
18235,,,TX,Houston`,77083,12/3/2013,1/7/2014,3/20/2014,Tape,E,M,3,JTB,#1540 ,mhold92,,,,Gulf/Atlantic Coast,,4,1,"Houston`, TX",29.76045036,-95.36978149,29.69311142,-95.64867401,7,1,2014,Tue,Year Round Breeding,
18236,,,TX,Houston`,77083,12/3/2013,1/8/2014,3/20/2014,Tape,E,F,3,JTB,#1542 ,mhold92,,,,Gulf/Atlantic Coast,,4,1,"Houston`, TX",29.76045036,-95.36978149,29.69311142,-95.64867401,8,1,2014,Wed,Year Round Breeding,
