ID,site.ID,region,region.ID,subregion,subregion.ID,year,season.phase,season.phase.ID,type,type.ID,sex,sex.ID,INF status,Affiliation,State,City,Zipcode,Date Collected,Date Sampled,Date Processed,Method
15006,1,Summer-breeding,1,Northeast,1,2,Sept,3,L,1,M,2,0,PRINCETON DAY SCHOOL,NJ,Princeton,08542,9/13/2012,10/1/2012,1/16/2013,tape
11892,4,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Newtown,18940,7/9/2011,8/23/2011,11/17/2011,tape
11893,4,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Newtown,18940,7/9/2011,8/23/2011,11/17/2011,tape
11894,4,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Newtown,18940,7/9/2011,8/24/2011,11/17/2011,tape
11896,4,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Newtown,18940,7/9/2011,8/24/2011,11/17/2011,tape
11897,4,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Newtown,18940,7/9/2011,8/24/2011,11/17/2011,tape
11899,4,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Newtown,18940,7/9/2011,8/24/2011,11/17/2011,tape
11900,4,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Newtown,18940,7/9/2011,8/25/2011,11/17/2011,tape
11901,4,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Newtown,18940,7/9/2011,8/25/2011,11/17/2011,tape
11904,4,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Newtown,18940,7/9/2011,8/25/2011,11/17/2011,tape
11905,4,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Newtown,18940,7/9/2011,8/25/2011,11/17/2011,tape
11906,4,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,0,,PA,Newtown,18940,7/9/2011,8/25/2011,11/17/2011,tape
11907,4,Summer-breeding,1,Northeast,1,1,Sept,3,L,1,F,1,0,,PA,Newtown,18940,7/16/2011,9/2/2011,11/17/2011,tape
11909,4,Summer-breeding,1,Northeast,1,1,Sept,3,L,1,F,1,0,,PA,Newtown,18940,7/21/2011,9/8/2011,11/17/2011,tape
11911,4,Summer-breeding,1,Northeast,1,1,Sept,3,L,1,F,1,0,,PA,Newtown,18940,7/21/2011,9/9/2011,11/17/2011,tape
11912,4,Summer-breeding,1,Northeast,1,1,Sept,3,L,1,F,1,0,,PA,Newtown,18940,7/21/2011,9/9/2011,11/17/2011,tape
11913,4,Summer-breeding,1,Northeast,1,1,Sept,3,L,1,F,1,0,,PA,Newtown,18940,7/21/2011,9/9/2011,11/17/2011,tape
11914,4,Summer-breeding,1,Northeast,1,1,Sept,3,L,1,F,1,0,,PA,Newtown,18940,7/21/2011,9/10/2011,11/17/2011,tape
11918,4,Summer-breeding,1,Northeast,1,1,Sept,3,L,1,F,1,0,,PA,Newtown,18940,7/21/2011,9/11/2011,11/17/2011,tape
11895,4,Summer-breeding,1,Northeast,1,1,August,2,L,1,M,2,0,,PA,Newtown,18940,7/9/2011,8/24/2011,11/17/2011,tape
11902,4,Summer-breeding,1,Northeast,1,1,August,2,L,1,M,2,0,,PA,Newtown,18940,7/9/2011,8/25/2011,11/17/2011,tape
